"Time","VI","VTI","FB","PETO2","PETCO2"
2327.48875,-26.03481674,-1.984019995,12.25740528,47.10951614,43.12206268
2332.35375,-25.18231201,-2.110989809,12.33299065,47.72986221,43.18640518
2336.73375,-25.8831501,-1.838308692,13.69863033,47.72986221,42.86466599
2341.54875,-21.57807159,-2.077122688,12.46105957,48.55699158,42.7145195
2346.94625,-23.86169434,-1.9411273,11.11625767,47.93664169,43.16496277
2352.31875,-25.072649,-2.136615992,11.16798496,47.10951614,43.37944794
2358.16875,-26.38477898,-2.444583178,10.2564106,47.93664169,43.10061264
2363.26375,-29.00796509,-2.240507603,11.77625084,47.31629562,42.88611984
2367.97125,-28.24969101,-2.275916576,12.74561882,47.93664169,42.52148056
2372.77625,-28.83532715,-2.26232934,12.48699284,47.93664169,42.56438065
2377.69125,-27.90766907,-2.362093925,12.20752811,47.31629562,42.67161942
2382.33375,-37.82064438,-2.159355879,12.92407131,46.28238297,43.01481247
2387.68875,-28.24884033,-3.375492334,11.20448208,47.31629562,42.58582687
2392.65125,-29.97149086,-2.336414576,12.09068012,46.69594955,43.20785141
2397.30375,-27.03020859,-2.324039221,12.89629269,46.48916626,43.59394455
2401.76625,-26.24590874,-2.010371685,13.4453783,45.86881638,43.87278366
2406.47375,-25.07703781,-2.0592103,12.74561882,46.07560349,43.57249069
2410.82125,-36.37507629,-1.817040443,13.80103493,45.6620369,43.37944794
2415.33875,-23.12092781,-2.738740206,13.28168201,46.90273666,42.45713806
2420.76125,-24.4883213,-2.089553833,11.06500721,47.52307892,42.95046616
2425.34375,-28.11655617,-1.870295644,13.09328938,46.28238297,43.48669815
