Time,RRI,SpO2,SBP,DBP,MAP,HR,CO,SV,TPR
3223.8617,0.7078,94.78546641,114.03125,64,83.62883874,84.36602783,7526.882324,88.875,13.0969
3224.5695,0.73365,94.78752641,118.78125,66.71875,88.51217296,84.77173615,5900.934082,72.28125,12.3747
3225.30315,1.04465,94.78683949,126.71875,71.4375,89.48830389,57.43651199,4985.991699,86.90625,10.3114
3226.3478,0.96425,94.79086725,NA,67.46875,91.28624498,62.22484207,6194.016602,99.53125,10.035
3227.31205,0.9671,94.79343204,122.65625,69.71875,87.77927842,62.22484207,6633.162598,106.53125,12.3377
3228.27915,0.957,94.79623498,118.9375,68.5,85.08672877,62.04109573,7390.806152,117.0625,11.8906
3229.23615,0.91685,94.79502509,114.25,66.9375,82.04577759,65.44286346,8516.693359,130.125,12.8053
3230.153,0.82975,95.42791503,105.78125,64.5625,77.80323987,72.31148529,7752.243164,107.25,13.6224
3230.98275,0.73645,95.78789293,108.5,63.75,79.7941852,81.47229004,8075.431641,99.09375,13.8292
3231.7192,0.7296,95.79583847,113.75,65.25,84.21321353,81.47229004,7535.165527,91.3125,13.8303
3232.4488,0.7689,95.80033164,117.96875,68.46875,88.45938423,82.23358154,6096.241211,78.28125,12.8893
3233.2177,1.0575,95.80210106,123.4375,72.0625,90.17997855,56.73544693,4916.977539,86.625,10.9801
3234.2752,1.0114,95.80329865,NA,70.6875,93.46426432,59.32354355,5632.028809,94.9375,11.1041
3235.2866,1.0898,95.79942707,126.03125,72.40625,90.68967841,59.32354355,5598.708008,101.53125,13.7785
3236.3764,1.0353,95.79415689,121.25,69.25,86.80929737,55.05594635,6357.455566,109.78125,12.8027
3237.4117,0.92925,96.37721112,113.625,66.1875,82.46544845,57.95640945,8104.070801,126,14.3378
3238.34095,0.84535,96.68323586,103.1875,64.46875,77.40712168,70.9751358,8037.091797,113.25,14.7923
3239.1863,0.744,95.78218666,107.53125,63.1875,79.50024172,70.9751358,8259.217773,102.21875,14.4864
3239.9303,0.73225,95.78643308,113.25,66.15625,84.94028231,81.94087982,7433.266602,90.71875,14.2426
3240.66255,0.8014,95.79009,118,69.8125,89.06843886,74.86660767,5550.610352,74.15625,13.3478
3241.46395,1.16135,95.79731831,123.59375,72.75,88.95359641,74.86660767,4495.087891,87.1875,11.1794
3242.6253,1.1083,95.80371684,126.6875,67.96875,90.20988648,54.13759232,5086.56543,93.9375,11.7638
3243.7336,1.1151,95.80283999,121.0625,69.21875,87.62972505,53.8054657,5436.907715,100.9375,15.299
3244.8487,1.0656,95.800705,116.03125,67.5,83.80924567,56.30725861,6129.889648,109,13.52
3245.9143,1.00755,95.80023944,110.0625,65.1875,80.18842545,56.30725861,7470.4375,125,14.5785
3246.92185,0.9182,95.79888641,103.4375,62.53125,76.79460347,59.54912567,7206.50293,110.375,15.0905
3247.84005,0.86695,96.46574197,104.5,62.71875,78.07044542,69.2101593,6713.083008,97,15.1122
3248.707,0.82005,96.77775745,108.25,65.1875,82.33784754,69.2101593,6635.344238,90.0625,14.8931
3249.52705,1.178,96.78957582,113.75,70.65625,84.87626512,73.16712952,4052.584717,79.15625,13.9626
3250.70505,1.1028,96.78494797,117.09375,66.03125,86.98930317,54.40615082,4532.304199,83.3125,12.6043
3251.80785,1.09075,96.77806412,113.6875,68.71875,85.82899665,55.00703812,4921.617188,89.4375,16.8383
3252.8986,1.08435,96.78671987,110.96875,68.25,83.95802655,55.33433914,5214.569824,94.375,14.8803
3253.98295,1.02505,96.7872619,106.03125,65.90625,80.80426574,58.53310776,6503.503906,111.125,15.9261
3255.008,1.0483,96.78462749,105.0625,65.4375,79.49538106,57.23542786,5557.91748,97.375,16.6265
3256.0563,1.0389,96.79018072,107.5625,63.25,80.49652728,57.23542786,5207.144531,90.375,16.802
3257.0952,1.06275,96.78263644,109.9375,64.4375,82.68901279,56.45881271,4584.385254,81.21875,16.763
3258.15795,1.0087,96.78007274,110.5,66.90625,85.47823526,59.48099899,4829.59668,81.15625,14.9874
3259.16665,1.01885,96.78016575,113.5625,72.1875,89.20273084,59.48099899,5520.509766,93.96875,14.8926
3260.1855,1.03995,96.78117337,116.03125,74.4375,90.72369471,57.69644165,5695.720703,98.71875,15.2894
3261.22545,0.97455,96.78131574,112.8125,72.90625,88.51413899,61.56534576,5871.717773,95.25,16.4309
3262.2,0.906,96.77386865,114.21875,73.1875,88.86562759,66.22757721,6016.361328,90.84375,NA
3263.106,0.87395,96.78121782,115.5625,73.1875,89.49564463,68.65122986,6135.703613,89.4375,NA
3263.97995,0.828,96.78453918,118.25,73.15625,90.84316025,68.65122986,5883.341797,81.1875,16.9149
3264.80795,0.88285,96.78470649,120.0625,73.75,91.35344516,67.95999908,5609.205566,82.53125,15.5589
3265.6908,1.1106,95.87829495,122.78125,72.9375,88.99461921,54.02422333,4575.78418,84.96875,14.0883
3266.8014,1.0238,95.78454959,125.0625,67.46875,88.41441804,54.02422333,5382.027832,91.34375,14.0736
3267.8252,1.0136,95.79262036,119.28125,66.90625,84.64268252,59.19374466,5638.129883,95.21875,15.4663
3268.8388,0.9655,95.79117038,113.1875,63.9375,80.70646427,59.19374466,6406.001953,103.375,13.3686
3269.8043,0.9254,95.79292401,109,62.21875,78.42491906,62.14442062,7624.277344,117.75,13.056
3270.7297,0.87795,95.79325417,107.5,61.78125,77.38178619,64.83642578,7348.088379,108.09375,13.0579
3271.60765,0.7654,95.79227773,102.09375,60.1875,75.49642805,78.38941193,7815.669434,99.65625,13.0023
3272.37305,0.71195,95.78944273,103.75,61.90625,77.44061732,84.27357483,7778.76709,92.125,12.8023
3273.085,0.70715,95.78877802,110,64.21875,82.44253756,84.85032654,7758.501953,91.4375,12.3253
3273.79215,0.71975,95.79013546,115.5,67.5,87.39567211,84.85032654,6723.828613,80.6875,11.7663
3274.5119,0.99945,95.79113512,120.3125,70.53125,87.7348325,83.35949707,4899.017578,81.53125,10.7069
3275.51135,0.9007,95.78978156,123.84375,66.90625,89.14800586,60.03513718,6315.248047,94.5,10.3348
3276.41205,1.02475,95.7932453,123.53125,71.1875,88.92457962,66.61390686,6023.341309,102.4375,12.7689
3277.4368,1.0993,95.79720618,125.15625,67.71875,87.3878608,58.55116653,5693.717285,103.9375,11.8819
3278.5361,1.0505,95.79697168,120.09375,64.6875,83.77697864,57.11458969,6752.658203,118.3125,13.29
3279.5866,0.91275,95.79206895,114.96875,62.9375,81.65787476,57.11458969,7369.780762,111.96875,13.1792
3280.49935,0.8152,95.78983877,110.40625,63.4375,80.32614918,65.73778534,8962.290039,121.375,12.969
3281.31455,0.75215,95.79318038,108.03125,64,79.79783001,73.60128021,9094.325195,113.625,12.4201
